,user_id,food_ids
0,1,"['milk', 'muffin', 'quest_bar', 'protein_bar', 'protein_bar', 'biscuit']"
1,1,"['milk', 'biscuit']"
2,1,"['steamed', 'milk', 'chocolate', 'biscuit', 'lime']"
3,1,"['milk', 'biscuit', 'chocolate', 'espresso', 'apple_cider', 'spaghetti']"
4,1,"['milk', 'protein_bar', 'eye_fillet', 'biscuit', 'chocolate']"
5,1,"['steamed', 'milk', 'biscuit', 'protein_bar', 'shrimp']"
6,1,"['milk', 'muffin', 'quest_bar', 'protein_bar', 'biscuit', 'lime', 'eye_fillet', 'berry', 'cheese', 'bread']"
7,1,"['milk', 'protein_bar', 'biscuit', 'lime', 'chocolate', 'bread', 'boiled', 'chicken']"
8,1,"['milk', 'protein_bar', 'biscuit', 'lime', 'chocolate', 'eye_fillet']"
9,1,"['bread', 'quest_bar', 'cupcake', 'laksa', 'chocolate']"
10,1,"['chocolate', 'quest_bar', 'eye_fillet', 'lime']"
11,1,"['cheese', 'chocolate', 'quest_bar', 'sausage', 'sandwich']"
12,1,"['chocolate', 'quest_bar', 'eye_fillet', 'lime']"
13,1,"['quest_bar', 'lime']"
14,1,"['quest_bar', 'lime', 'chocolate', 'budweiser', 'bun', 'chocolate', 'peanut']"
15,1,"['quest_bar', 'lime', 'chocolate', 'peanut', 'beer', 'wrap']"
16,1,"['protein_bar', 'lime', 'chocolate', 'eye_fillet', 'chocolate', 'peanut', 'lager']"
17,1,"['protein_bar', 'lime', 'chocolate', 'eye_fillet', 'chocolate', 'peanut']"
18,1,"['asparagus', 'salad', 'grilled', 'clam', 'chicken', 'cupcake', 'beer', 'spinach']"
19,1,"['salad', 'quest_bar', 'coors', 'burrito', 'wing', 'protein_bar', 'chocolate']"
20,1,"['corn', 'chocolate', 'quest_bar', 'lime']"
21,1,"['milk', 'protein_bar', 'biscuit', 'steamed', 'peanut_butter', 'bread', 'chocolate']"
22,1,"['milk', 'biscuit', 'peanut_butter', 'eye_fillet', 'bread', 'chocolate']"
23,1,"['milk', 'biscuit', 'lime', 'chocolate', 'strawberry', 'eye_fillet']"
24,1,"['milk', 'biscuit', 'peanut_butter', 'eye_fillet', 'bread', 'chocolate']"
25,1,"['milk', 'muffin', 'quest_bar', 'protein_bar', 'protein_bar', 'biscuit', 'steamed', 'eye_fillet']"
26,1,"['milk', 'protein_bar', 'biscuit', 'lime', 'chocolate', 'lamb', 'salad', 'snicker', 'bread']"
27,1,"['milk', 'muffin', 'quest_bar', 'biscuit', 'chocolate', 'sour_cream']"
28,1,"['milk', 'muffin', 'biscuit', 'lime', 'chocolate', 'wrap']"
29,1,"['milk', 'biscuit', 'sandwich']"
30,1,"['milk', 'protein_bar', 'biscuit', 'lime', 'peanut_butter', 'spaghetti', 'bread', 'chocolate']"
31,1,"['milk', 'protein_bar', 'biscuit', 'bread', 'steamed', 'peanut_butter', 'apple_pie', 'quest_bar']"
32,1,"['milk', 'bread', 'protein_bar', 'biscuit', 'lime', 'peanut_butter', 'eye_fillet', 'berry', 'apple_pie', 'quest_bar', 'syrup']"
33,1,"['bread', 'protein_bar', 'lime', 'peanut_butter', 'apple_pie', 'quest_bar', 'syrup', 'spinach', 'poached', 'drumstick']"
34,1,"['peanut_butter', 'syrup', 'protein_bar', 'sandwich', 'bread']"
35,1,"['milk', 'biscuit']"
36,1,"['milk', 'biscuit', 'cheese', 'bread', 'chicken', 'mayonnaise']"
37,1,"['milk', 'biscuit', 'chocolate']"
38,1,"['peanut_butter', 'chocolate', 'bread', 'biscuit', 'milk']"
39,1,"['cheese', 'steamed', 'bread', 'quest_bar']"
40,1,"['milk', 'biscuit', 'lime', 'salad', 'apple_pie', 'bread', 'fish']"
41,1,"['milk', 'biscuit', 'wrap', 'sour_cream']"
42,1,"['milk', 'chocolate', 'biscuit', 'lime']"
43,1,"['milk', 'biscuit', 'sausage']"
44,1,"['milk', 'biscuit', 'chocolate', 'apple_pie', 'bread', 'sausage']"
45,1,['milk_chocolate']
46,1,"['apple_cider', 'espresso', 'fried', 'braised', 'milk_chocolate']"
47,1,"['apple_cider', 'eye_fillet', 'sour_cream', 'milk_chocolate', 'potato', 'oat']"
48,1,['oat']
49,1,"['milk', 'biscuit', 'lime', 'chocolate', 'lamb', 'bread', 'potato', 'broccoli']"
50,1,"['chocolate', 'wrap', 'sour_cream']"
51,1,"['milk', 'wrap', 'biscuit', 'lime']"
52,1,"['milk', 'milk_chocolate', 'chocolate', 'biscuit', 'lime']"
53,1,"['fruit', 'milk', 'protein_bar', 'biscuit', 'bread', 'peanut_butter', 'quest_bar']"
54,1,"['prawn', 'salad', 'eye_fillet', 'bread', 'sausage', 'potato']"
55,1,"['milk', 'bread', 'biscuit', 'apple_pie', 'peanut_butter', 'lime', 'cheese', 'quest_bar']"
56,1,"['apple_pie', 'peanut_butter', 'bread', 'eye_fillet', 'quest_bar']"
57,1,"['bread', 'lime', 'peanut_butter', 'eye_fillet', 'apple_pie', 'quest_bar', 'chocolate', 'sausage']"
58,1,"['apple_pie', 'peanut_butter', 'pork', 'bread', 'quest_bar']"
59,1,"['peanut_butter', 'banana', 'eye_fillet', 'bread']"
60,1,"['chocolate', 'quest_bar', 'chocolate']"
61,1,"['cheese', 'peanut_butter', 'chocolate', 'bread']"
62,1,"['peanut_butter', 'quest_bar', 'chocolate']"
63,1,"['milk', 'quest_bar', 'cereal', 'peanut_butter', 'salad', 'eye_fillet', 'bread', 'drumstick', 'sausage', 'potato']"
64,1,"['peanut_butter', 'quest_bar', 'chocolate', 'baked_bean', 'chocolate']"
65,1,"['peanut_butter', 'strawberry', 'chocolate', 'nectarine']"
66,1,"['quest_bar', 'chocolate', 'coffee_mate', 'quest_bar', 'peanut_butter', 'chocolate']"
67,1,"['coffee_mate', 'peanut_butter', 'cooky', 'raspberry', 'chocolate']"
68,1,"['chocolate', 'coffee_mate', 'peanut_butter', 'raspberry', 'pig', 'oyster', 'beer', 'potato']"
69,1,"['quest_bar', 'quest_bar', 'raspberry', 'shrimp', 'bread', 'fried', 'chocolate']"
70,1,"['peanut', 'peanut_butter', 'chocolate', 'chocolate', 'lucozade_sport']"
71,1,"['quest_bar', 'quest_bar', 'eye_fillet', 'lucozade_sport', 'peanut_butter', 'chocolate', 'beer']"
72,1,"['quest_bar', 'chocolate', 'peanut_butter', 'lucozade_sport', 'apple', 'peanut', 'chocolate']"
73,1,"['quest_bar', 'chocolate', 'peanut_butter', 'lucozade_sport', 'peanut', 'chocolate']"
74,1,"['pork', 'quest_bar', 'chocolate', 'peanut_butter', 'lucozade_sport', 'chocolate']"
75,1,"['peanut_butter', 'pretzel', 'lamb', 'bread']"
76,1,"['quest_bar', 'peanut_butter', 'lamb', 'chicken', 'sourdough', 'bread', 'sausage']"
77,1,"['milk', 'cereal', 'lime', 'chocolate', 'salad', 'chicken', 'salad', 'baked']"
78,1,"['lime', 'chocolate', 'raspberry', 'biscuit', 'calamari', 'lemon', 'protein_bar']"
79,1,"['biscuit', 'chocolate', 'lamb', 'eye_fillet', 'cheese', 'protein_bar']"
80,1,"['milk', 'sausage', 'muffin', 'cereal', 'chocolate']"
81,1,"['cheese', 'milk', 'cereal', 'biscuit', 'muffin']"
82,1,"['chocolate', 'apple_cider', 'baked_bean']"
83,1,"['milk', 'cereal', 'baked_bean', 'lime', 'chocolate', 'raspberry', 'sausage', 'lemon']"
84,1,['lime']
85,1,"['milk', 'chocolate', 'cereal', 'sour_cream', 'lime']"
86,1,"['espresso', 'beer', 'eye_fillet', 'sandwich', 'lime']"
87,1,"['milk', 'chocolate', 'wrap', 'cereal', 'lime']"
88,1,"['milk', 'chocolate', 'wrap', 'cereal', 'lime']"
89,1,"['milk', 'cereal', 'lime', 'chocolate', 'milk_chocolate', 'wrap']"
90,1,"['raspberry', 'lime', 'nectarine', 'spaghetti', 'bread', 'lemon', 'protein_bar', 'vanilla']"
91,1,['chocolate']
92,1,"['peanut_butter', 'bread', 'cereal', 'milk']"
93,1,"['turkey', 'milk', 'popcorn', 'cereal', 'lime']"
94,1,"['fruit', 'milk', 'cereal', 'lime', 'peanut_butter', 'turkey', 'bread']"
95,1,"['lime', 'peanut_butter', 'raspberry', 'bread', 'lemon', 'protein_bar']"
96,1,"['milk', 'lamb', 'bread', 'cereal', 'lime']"
97,1,"['milk', 'eye_fillet', 'cereal', 'lime']"
98,1,"['milk', 'cereal', 'lime', 'peanut_butter', 'bread', 'chocolate', 'sausage']"
99,1,"['milk', 'corona', 'banana', 'popcorn', 'cereal', 'lime', 'chocolate', 'sausage']"
