1,coors,1
1,apple_cider,4
1,oyster,1
5,spaghetti,2
1,cupcake,2
2,chickpea,1
4,popcorn,6
1,lucozade_sport,10
2,curry_powder,3
1,grilled,1
5,whipped,31
5,casein,18
4,peanut_butter,6
4,spice,2
5,almond,7
5,cheese,9
5,egg,20
1,raspberry,38
1,pork,2
1,budweiser,1
2,swede,6
5,irish_cream,1
5,kahlua,1
1,croissant,2
5,cut,1
2,banana,15
2,chicken,21
1,ice_cream,1
4,donut,1
1,apple_pie,17
2,boiled,14
3,mint,1
3,wrap,1
5,ale,31
4,margarine,3
5,veggie,27
2,orange,2
4,fudge,5
4,raspberry,1
3,cabbage,1
4,cherry,2
4,pecan_pie,1
1,wrap,14
1,pasta,1
5,bacon,4
4,carrot,4
1,bread,57
2,baked_potato,2
1,lager,1
1,fish,1
2,cream,1
4,ranch_dressing,1
1,turkey,2
5,fruit,96
4,soymilk,1
1,espresso,3
5,shrimp,2
4,mozzarella_cheese,6
4,yogurt,1
5,lamb,1
4,coconut,1
2,mint_sauce,5
2,scone,2
1,nectarine,9
1,popcorn,2
2,mocha,35
5,pork,38
4,orange,2
1,milk,97
2,margarine,1
4,chocolate,2
4,french_fry,2
1,spaghetti,4
5,ginger,21
3,apple,3
5,muffin,1
3,wine,1
4,salsa,1
1,spinach,2
1,lamb,12
1,snicker,1
5,apple_pie,3
5,meat,12
1,berry,2
1,orange,2
5,brownie,84
1,prawn,1
2,lentil,3
4,cashew,1
1,sourdough,1
4,cracker,9
3,oat,1
2,hot_chocolate,9
2,tomato_sauce,3
2,bean,4
4,cookie,2
4,pear,1
5,banana,257
2,chocolate_ball,1
5,chicken,94
5,rice,37
5,bock,4
4,cupcake,1
4,vegetable_oil,1
1,lorraine,3
5,nut,57
4,baked_potato,3
2,potato,18
2,cabbage,4
5,rib_eye,3
2,yoghurt,1
2,coke,1
1,peanut,9
1,salad,10
1,drumstick,2
3,whole_wheat,2
4,salad,7
5,almond_milk,153
4,cheese,4
1,sour_cream,9
2,coconut_bar,1
4,biscuit,1
4,sandwich,3
4,potato,3
5,syrup,4
5,pasta,41
2,coconut,2
1,bun,1
2,noodle,1
4,boiled,1
2,strawberry,8
4,banana,18
5,salad,22
1,braised,1
1,coffee_mate,6
5,pig,1
4,lettuce,3
1,corona,1
1,lasagne,3
2,carrot,18
4,parmesan_cheese,1
4,taco,7
1,milk_chocolate,5
3,strawberry,1
2,vanilla,2
2,apple,2
5,carrot,5
2,milk_chocolate,11
1,baked_bean,4
2,sausage,2
3,syrup,1
2,melt,6
3,noodle,1
1,muffin,7
2,onion,27
4,rice,1
4,spinach,2
1,pretzel,1
4,vegetable,3
1,oat,7
5,sandwich,8
4,waffle,1
4,turkey,1
1,baked,1
2,bun,2
4,fruit,1
3,pancake,1
1,biscuit,76
2,tomato,16
2,ketchup,10
1,pig,1
5,meatball,2
4,strawberry,4
5,corn,2
1,apple,5
5,green_bean,14
5,new_york_strip,21
5,milk,16
1,chocolate,114
2,cauliflower,2
3,popcorn,1
2,custard,1
4,sirloin,1
1,potato,7
2,cheddar_cheese,1
2,pasta,1
2,cheese,15
2,brownie,1
1,grape,1
4,vanilla,5
4,snicker,2
2,peanut_butter,11
2,cappuccino,8
4,milk,1
2,sauce,2
2,fudge,9
2,rice,4
1,protein_bar,40
2,coconut_cake,1
1,quest_bar,75
5,turkey,3
2,potato_chip,2
5,bread,72
2,baked_bean,10
2,corn,5
5,peach,5
4,noodle,2
4,chicken,3
2,bagel,1
2,soup,2
4,chocolate_milk,1
1,burrito,1
1,broccoli,3
2,skimmed,60
5,hamburger,9
5,sage,1
5,steak_fry,3
3,grilled,1
4,bread,6
5,reduced,64
5,grilled,2
4,pumpkin,1
4,apple,5
1,mayonnaise,1
5,pear,31
3,cheddar_cheese,2
1,strawberry,2
5,yogurt,31
2,vegetable,33
2,oat,1
1,cheese,12
2,biscuit,13
2,egg,5
5,mayonnaise,24
1,peanut_butter,53
4,ranch,2
2,raspberry,1
1,sausage,17
5,burger,1
5,welsh_cake,2
5,whey,146
4,grape,3
1,fruit,2
2,wedge,10
5,swordfish,4
1,lime,73
2,pea,2
5,coconut,26
3,hot_chocolate,2
4,cheddar_cheese,1
5,honey,5
1,asparagus,1
1,cereal,22
5,pumpkin_pie,1
5,potato,36
2,mashed_potato,1
3,margarine,6
1,laksa,1
5,fish,82
1,boiled,5
1,sandwich,5
1,wing,1
1,steamed,6
1,poached,2
1,calamari,1
5,sirloin,2
1,cooky,1
2,lettuce,1
5,cocktail,2
3,corn,1
2,burger,5
5,grape,127
3,beef,4
3,squash,2
4,tomato,5
3,blueberry,2
4,candy_cane,1
2,marmite,20
4,ham,2
4,tortilla,1
1,lemon,11
2,salad,2
1,banana,7
5,flax,38
1,vanilla,1
3,cheese,1
1,syrup,3
4,caesar_dressing,2
1,shrimp,2
1,beer,6
2,sunflower_seed,4
5,rotisserie,6
5,sweet_potato,1
1,mint,1
4,mint,2
1,chicken,13
1,fried,2
2,chocolate,14
4,grilled,3
5,chocolate,136
2,bread,74
5,risotto,48
4,pizza,7
1,clam,1
2,garlic,1
3,fettuccine,1
4,nacho,1
1,corn,1
2,nut,10
1,eye_fillet,31
